Time;MOGILSKA;WIELICKA;BULWAR KURLANDZKI;WADOWICKA;KOTLARSKA;MONTE CASSINO;TYNIECKA;SMOLEÑSK/DUNIN W.;DWORZEC G£/WITA STWOSZA;KOPERNIKA;KOPERNIKA;KLIMECKIEGO;KLIMECKIEGO;NOWOHUCKA;BORA KOMOROWSKIEGO
2016-11-18 00:00;0;0;0;0;0;;;;;;;;;;
2016-11-18 01:00;0;0;0;0;0;;;;;;;;;;
2016-11-18 02:00;0;0;0;0;0;;;;;;;;;;
2016-11-18 03:00;0;0;0;0;0;;;;;;;;;;
2016-11-18 04:00;0;0;0;0;0;;;;;;;;;;
2016-11-18 05:00;0;0;0;0;0;;;;;;;;;;
2016-11-18 06:00;0;0;0;0;0;;;;;;;;;;
2016-11-18 07:00;0;0;0;0;0;;;;;;;;;;
2016-11-18 08:00;0;23;0;0;0;;;;;;;;;;
2016-11-18 09:00;0;12;0;0;0;;;;;;;;;;
2016-11-18 10:00;57;14;0;0;0;;;;;;;;;;
2016-11-18 11:00;66;14;0;0;23;;;;;;;;;;
2016-11-18 12:00;77;12;0;27;41;;;;;;;;;;
2016-11-18 13:00;97;27;0;18;52;;;;;;;;;;
2016-11-18 14:00;82;35;54;19;50;;;;;;;;;;
2016-11-18 15:00;106;36;90;27;78;;;;;;;;;;
2016-11-18 16:00;102;54;86;23;85;;;;;;;;;;
2016-11-18 17:00;100;37;67;16;75;;;;;;;;;;
2016-11-18 18:00;75;28;47;23;47;;;;;;;;;;
2016-11-18 19:00;43;17;29;21;35;;;;;;;;;;
2016-11-18 20:00;45;4;17;15;26;;;;;;;;;;
2016-11-18 21:00;25;5;15;18;26;;;;;;;;;;
2016-11-18 22:00;18;7;11;4;16;;;;;;;;;;
2016-11-18 23:00;14;4;5;1;6;;;;;;;;;;
2016-11-19 00:00;9;2;3;0;0;;;;;;;;;;
2016-11-19 01:00;4;2;2;0;2;;;;;;;;;;
2016-11-19 02:00;3;0;0;0;2;;;;;;;;;;
2016-11-19 03:00;0;0;0;0;0;;;;;;;;;;
2016-11-19 04:00;0;2;0;1;3;;;;;;;;;;
2016-11-19 05:00;6;5;1;0;2;;;;;;;;;;
2016-11-19 06:00;15;1;12;5;7;;;;;;;;;;
2016-11-19 07:00;21;5;6;9;8;;;;;;;;;;
2016-11-19 08:00;19;6;15;7;8;;;;;;;;;;
2016-11-19 09:00;18;8;8;7;5;;;;;;;;;;
2016-11-19 10:00;15;5;9;12;9;;;;;;;;;;
2016-11-19 11:00;16;13;17;12;17;;;;;;;;;;
2016-11-19 12:00;34;14;31;16;22;;;;;;;;;;
2016-11-19 13:00;31;11;44;21;19;;;;;;;;;;
2016-11-19 14:00;41;25;48;18;33;;;;;;;;;;
2016-11-19 15:00;55;13;50;25;17;;;;;;;;;;
2016-11-19 16:00;36;7;26;17;20;;;;;;;;;;
2016-11-19 17:00;25;10;18;14;14;;;;;;;;;;
2016-11-19 18:00;27;8;10;8;12;;;;;;;;;;
2016-11-19 19:00;21;3;10;13;7;;;;;;;;;;
2016-11-19 20:00;16;3;6;12;12;;;;;;;;;;
2016-11-19 21:00;10;4;6;9;3;;;;;;;;;;
2016-11-19 22:00;11;1;4;0;7;;;;;;;;;;
2016-11-19 23:00;5;3;2;0;3;;;;;;;;;;
2016-11-20 00:00;4;1;1;0;2;;;;;;;;;;
2016-11-20 01:00;1;2;0;0;0;;;;;;;;;;
2016-11-20 02:00;1;0;0;0;0;;;;;;;;;;
2016-11-20 03:00;1;0;0;0;1;;;;;;;;;;
2016-11-20 04:00;2;0;1;0;2;;;;;;;;;;
2016-11-20 05:00;2;2;2;1;1;;;;;;;;;;
2016-11-20 06:00;6;1;4;12;5;;;;;;;;;;
2016-11-20 07:00;8;5;6;18;9;;;;;;;;;;
2016-11-20 08:00;15;3;9;19;5;;;;;;;;;;
2016-11-20 09:00;32;4;20;21;13;;;;;;;;;;
2016-11-20 10:00;31;11;25;24;14;;;;;;;;;;
2016-11-20 11:00;43;18;50;24;21;;;;;;;;;;
2016-11-20 12:00;45;13;72;21;34;;;;;;;;;;
2016-11-20 13:00;54;21;92;15;30;;;;;;;;;;
2016-11-20 14:00;56;22;85;11;33;;;;;;;;;;
2016-11-20 15:00;56;30;55;9;22;;;;;;;;;;
2016-11-20 16:00;33;14;37;9;18;;;;;;;;;;
2016-11-20 17:00;31;7;26;5;17;;;;;;;;;;
2016-11-20 18:00;33;12;10;3;13;;;;;;;;;;
2016-11-20 19:00;29;6;19;2;11;;;;;;;;;;
2016-11-20 20:00;27;2;8;6;7;;;;;;;;;;
2016-11-20 21:00;19;4;10;5;16;;;;;;;;;;
2016-11-20 22:00;14;1;7;6;9;;;;;;;;;;
2016-11-20 23:00;6;3;0;1;2;;;;;;;;;;
2016-11-21 00:00;1;1;0;0;0;;;;;;;;;;
2016-11-21 01:00;1;0;0;0;2;;;;;;;;;;
2016-11-21 02:00;1;0;0;0;0;;;;;;;;;;
2016-11-21 03:00;1;1;0;0;0;;;;;;;;;;
2016-11-21 04:00;0;1;0;0;3;;;;;;;;;;
2016-11-21 05:00;14;6;5;0;10;;;;;;;;;;
2016-11-21 06:00;56;19;42;3;40;;;;;;;;;;
2016-11-21 07:00;139;40;81;19;93;;;;;;;;;;
2016-11-21 08:00;118;37;63;27;87;;;;;;;;;;
2016-11-21 09:00;115;22;35;21;54;;;;;;;;;;
2016-11-21 10:00;67;21;38;30;34;;;;;;;;;;
2016-11-21 11:00;43;26;58;36;33;;;;;;;;;;
2016-11-21 12:00;87;32;62;18;29;;;;;;;;;;
2016-11-21 13:00;80;30;65;40;58;;;;;;;;;;
2016-11-21 14:00;78;30;91;36;61;;;;;;;;;;
2016-11-21 15:00;116;36;97;28;70;;;;;;;;;;
2016-11-21 16:00;153;53;97;30;94;;;;;;;;;;
2016-11-21 17:00;128;40;103;25;97;;;;;;;;;;
2016-11-21 18:00;116;21;70;23;61;;;;;;;;;;
2016-11-21 19:00;84;24;43;14;53;;;;;;;;;;
2016-11-21 20:00;44;14;30;14;32;;;;;;;;;;
2016-11-21 21:00;28;17;13;10;24;;;;;;;;;;
2016-11-21 22:00;23;6;7;6;17;;;;;;;;;;
2016-11-21 23:00;8;2;2;2;1;;;;;;;;;;
2016-11-22 00:00;2;1;3;0;7;;;;;;;;;;
2016-11-22 01:00;7;1;0;0;3;;;;;;;;;;
2016-11-22 02:00;0;0;1;0;2;;;;;;;;;;
2016-11-22 03:00;1;1;0;0;0;;;;;;;;;;
2016-11-22 04:00;0;0;0;0;2;;;;;;;;;;
2016-11-22 05:00;21;6;8;1;15;;;;;;;;;;
2016-11-22 06:00;47;19;43;9;39;;;;;;;;;;
2016-11-22 07:00;175;48;87;21;97;;;;;;;;;;
2016-11-22 08:00;128;41;87;21;110;;;;;;;;;;
2016-11-22 09:00;100;21;51;18;54;;;;;;;;;;
2016-11-22 10:00;70;26;44;26;27;;;;;;;;;;
2016-11-22 11:00;82;18;61;26;53;;;;;;;;;;
2016-11-22 12:00;77;23;70;26;37;;;;;;;;;;
2016-11-22 13:00;78;35;61;31;45;;;;;;;;;;
2016-11-22 14:00;106;23;113;27;60;;;;;;;;;;
2016-11-22 15:00;148;51;101;27;86;;;;;;;;;;
2016-11-22 16:00;130;58;124;25;124;;;;;;;;;;
2016-11-22 17:00;143;42;106;22;91;;;;;;;;;;
2016-11-22 18:00;115;36;74;26;57;;;;;;;;;;
2016-11-22 19:00;76;14;44;19;52;;;;;;;;;;
2016-11-22 20:00;46;12;25;20;32;;;;;;;;;;
2016-11-22 21:00;35;14;21;19;21;;;;;;;;;;
2016-11-22 22:00;28;7;5;14;16;;;;;;;;;;
2016-11-22 23:00;11;5;3;8;9;;;;;;;;;;
2016-11-23 00:00;4;2;0;34;4;;;;;;;;;;
2016-11-23 01:00;1;1;0;1;0;;;;;;;;;;
2016-11-23 02:00;0;0;0;0;3;;;;;;;;;;
2016-11-23 03:00;1;0;0;0;1;;;;;;;;;;
2016-11-23 04:00;0;0;1;0;1;;;;;;;;;;
2016-11-23 05:00;18;4;8;1;14;;;;;;;;;;
2016-11-23 06:00;61;16;35;4;39;;;;;;;;;;
2016-11-23 07:00;146;43;89;17;94;;;;;;;;;;
2016-11-23 08:00;112;39;80;23;86;;;;;;;;;;
2016-11-23 09:00;89;28;34;26;59;;;;;;;;;;
2016-11-23 10:00;67;14;47;25;35;;;;;;;;;;
2016-11-23 11:00;82;15;52;18;40;;;;;;;;;;
2016-11-23 12:00;69;30;52;21;40;;;;;;;;;;
2016-11-23 13:00;84;23;62;22;54;;;;;;;;;;
2016-11-23 14:00;84;26;75;21;56;;;;;;;;;;
2016-11-23 15:00;139;28;99;22;89;;;;;;;;;;
2016-11-23 16:00;139;51;84;17;94;;;;;;;;;;
2016-11-23 17:00;155;45;98;12;112;;;;;;;;;;
