,Year,Month,Day,Hour,Cloud_cover,Wind_speed,Temperature,Pressure,Precipitation,Season
0,2019,1,1,0,8,3,0.1,999.6,0.0,4
1,2019,1,1,1,8,3,0.8,999.4,0.0,4
2,2019,1,1,2,5,4,0.8,998.1,0.0,4
3,2019,1,1,3,5,3,-0.8,996.7,0.0,4
4,2019,1,1,4,3,3,-1.0,995.7,0.0,4
5,2019,1,1,5,7,3,-0.3,994.5,0.0,4
6,2019,1,1,6,7,4,0.5,994.0,0.0,4
7,2019,1,1,7,8,4,0.8,993.1,0.0,4
8,2019,1,1,8,8,3,1.2,992.1,0.0,4
9,2019,1,1,9,8,2,1.8,990.9,0.0,4
10,2019,1,1,10,8,3,2.5,989.7,0.0,4
11,2019,1,1,11,8,5,3.3,988.1,0.0,4
12,2019,1,1,12,7,6,4.8,986.0,0.2,4
13,2019,1,1,13,8,5,4.7,985.2,0.0,4
14,2019,1,1,14,8,8,4.9,984.2,0.0,4
15,2019,1,1,15,8,8,5.3,983.5,0.0,4
16,2019,1,1,16,8,9,5.2,983.2,0.0,4
17,2019,1,1,17,8,8,5.3,982.3,0.0,4
18,2019,1,1,18,8,8,5.4,982.0,2.0,4
19,2019,1,1,19,8,7,3.3,981.6,0.0,4
20,2019,1,1,20,7,8,3.9,981.2,0.0,4
21,2019,1,1,21,7,5,3.3,980.5,0.0,4
22,2019,1,1,22,8,13,2.9,979.8,0.0,4
23,2019,1,1,23,8,10,2.5,979.5,0.0,4
24,2019,1,2,0,8,9,2.1,980.0,2.9,4
25,2019,1,2,1,8,7,1.7,979.5,0.0,4
26,2019,1,2,2,8,7,0.6,978.9,0.0,4
27,2019,1,2,3,8,7,0.5,978.3,0.0,4
28,2019,1,2,4,8,8,0.5,978.0,0.0,4
29,2019,1,2,5,8,8,0.6,978.3,0.0,4
30,2019,1,2,6,8,8,1.2,979.1,1.0,4
31,2019,1,2,7,8,8,1.3,980.3,0.0,4
32,2019,1,2,8,8,7,0.9,981.1,0.0,4
33,2019,1,2,9,8,8,1.1,981.2,0.0,4
34,2019,1,2,10,8,8,1.0,981.2,0.0,4
35,2019,1,2,11,8,7,1.2,981.5,0.0,4
36,2019,1,2,12,7,4,1.3,982.6,0.6,4
37,2019,1,2,13,7,4,1.1,983.9,0.0,4
38,2019,1,2,14,7,5,0.9,985.2,0.0,4
39,2019,1,2,15,8,7,0.6,986.0,0.0,4
40,2019,1,2,16,8,6,0.0,987.3,0.0,4
41,2019,1,2,17,8,5,0.0,988.1,0.0,4
42,2019,1,2,18,8,6,-0.7,988.9,0.2,4
43,2019,1,2,19,7,6,-1.0,989.6,0.0,4
44,2019,1,2,20,8,7,-1.2,989.7,0.0,4
45,2019,1,2,21,8,8,-1.2,990.0,0.0,4
46,2019,1,2,22,8,8,-1.6,990.0,0.0,4
47,2019,1,2,23,8,7,-1.8,990.3,0.0,4
48,2019,1,3,0,8,7,-1.9,990.7,0.1,4
49,2019,1,3,1,8,7,-2.0,991.3,0.0,4
50,2019,1,3,2,8,7,-2.2,991.6,0.0,4
51,2019,1,3,3,8,8,-2.4,991.5,0.0,4
52,2019,1,3,4,8,8,-2.7,991.6,0.0,4
53,2019,1,3,5,7,6,-2.9,991.6,0.0,4
