,Year,Month,Day,Hour,Visibility,Cloud_cover,Wind_speed,Temperature,Pressure,Precipitation,Insolation,Season
0,2019,1,1,0,12089,8,7,3.7,1017.4,0.0,0.0,4
1,2019,1,1,1,13088,8,6,4.0,1016.2,0.0,0.0,4
2,2019,1,1,2,12052,8,4,4.4,1014.7,0.0,0.0,4
3,2019,1,1,3,20000,8,6,5.0,1012.8,0.0,0.0,4
4,2019,1,1,4,13090,8,7,5.4,1010.8,0.0,0.0,4
5,2019,1,1,5,20000,8,5,5.6,1010.6,0.0,0.0,4
6,2019,1,1,6,15188,7,7,6.1,1007.4,0.1,0.0,4
7,2019,1,1,7,15575,8,7,6.0,1005.9,0.0,0.0,4
8,2019,1,1,8,4856,8,7,6.0,1004.3,0.0,0.0,4
9,2019,1,1,9,10086,8,6,6.5,1002.6,0.0,0.0,4
10,2019,1,1,10,20000,5,9,6.3,1001.6,0.0,0.0,4
11,2019,1,1,11,20000,7,10,7.0,1000.7,0.0,0.2,4
12,2019,1,1,12,20000,7,9,6.8,999.9,2.0,0.0,4
13,2019,1,1,13,20000,7,9,6.1,999.4,0.0,0.0,4
14,2019,1,1,14,10668,7,8,5.2,999.0,0.0,0.0,4
15,2019,1,1,15,20000,7,8,5.2,998.4,0.0,0.0,4
16,2019,1,1,16,19757,7,8,5.6,997.9,0.0,0.0,4
17,2019,1,1,17,20000,7,8,5.3,997.5,0.0,0.0,4
18,2019,1,1,18,20000,7,7,5.1,997.3,0.5,0.0,4
19,2019,1,1,19,17648,7,5,4.8,997.3,0.0,0.0,4
20,2019,1,1,20,10080,7,6,4.2,996.8,0.0,0.0,4
21,2019,1,1,21,20000,7,4,3.8,996.9,0.0,0.0,4
22,2019,1,1,22,20000,7,5,3.7,997.1,0.0,0.0,4
23,2019,1,1,23,20000,7,4,4.3,997.4,0.0,0.0,4
24,2019,1,2,0,20000,7,6,4.1,998.4,1.9,0.0,4
25,2019,1,2,1,20000,7,7,4.1,999.3,0.0,0.0,4
26,2019,1,2,2,20000,7,8,3.8,1000.1,0.0,0.0,4
27,2019,1,2,3,20000,7,8,3.6,1001.1,0.0,0.0,4
28,2019,1,2,4,20000,7,8,2.7,1002.9,0.0,0.0,4
29,2019,1,2,5,20000,7,9,2.9,1004.7,0.0,0.0,4
30,2019,1,2,6,5992,7,9,1.4,1006.0,3.2,0.0,4
31,2019,1,2,7,20000,7,10,2.1,1007.0,0.0,0.0,4
32,2019,1,2,8,5776,7,12,1.5,1007.8,0.0,0.0,4
33,2019,1,2,9,20000,7,10,2.0,1009.1,0.0,0.0,4
34,2019,1,2,10,5518,7,10,1.5,1010.3,0.0,0.0,4
35,2019,1,2,11,20000,7,9,2.0,1011.0,0.0,0.0,4
36,2019,1,2,12,20000,7,12,2.0,1011.9,1.9,0.0,4
37,2019,1,2,13,20000,7,10,1.9,1013.1,0.0,0.0,4
38,2019,1,2,14,20000,7,12,1.5,1014.0,0.0,0.0,4
39,2019,1,2,15,12364,7,12,1.8,1014.5,0.0,0.0,4
40,2019,1,2,16,20000,7,9,1.9,1015.2,0.0,0.0,4
41,2019,1,2,17,20000,7,11,1.7,1016.0,0.0,0.0,4
42,2019,1,2,18,970,7,10,0.3,1016.9,0.3,0.0,4
43,2019,1,2,19,1321,7,9,0.2,1017.4,0.0,0.0,4
44,2019,1,2,20,2862,7,11,0.2,1017.9,0.0,0.0,4
45,2019,1,2,21,5655,7,10,0.1,1018.1,0.0,0.0,4
46,2019,1,2,22,530,7,10,-0.8,1018.8,0.0,0.0,4
47,2019,1,2,23,539,7,8,-0.6,1019.2,0.0,0.0,4
48,2019,1,3,0,2480,7,8,-0.2,1019.4,1.6,0.0,4
49,2019,1,3,1,3280,7,10,0.1,1019.7,0.0,0.0,4
50,2019,1,3,2,3132,7,8,0.1,1020.0,0.0,0.0,4
51,2019,1,3,3,610,7,10,-1.2,1020.7,0.0,0.0,4
52,2019,1,3,4,966,7,8,-0.7,1020.8,0.0,0.0,4
53,2019,1,3,5,16334,4,9,1.2,1020.5,0.0,0.0,4
54,2019,1,3,6,11172,6,10,1.0,1021.1,1.0,0.0,4
55,2019,1,3,7,20000,6,10,1.4,1021.8,0.0,0.0,4
56,2019,1,3,8,20000,4,12,1.1,1022.5,0.0,0.0,4
57,2019,1,3,9,20000,5,9,1.2,1023.1,0.0,0.1,4
58,2019,1,3,10,15847,6,8,0.2,1023.8,0.0,0.1,4
59,2019,1,3,11,20000,5,9,1.2,1023.9,0.0,0.1,4
60,2019,1,3,12,20000,6,8,1.0,1024.1,0.0,0.2,4
61,2019,1,3,13,20000,6,8,0.8,1024.4,0.0,0.3,4
62,2019,1,3,14,20000,7,7,0.7,1024.9,0.0,0.1,4
63,2019,1,3,15,8035,7,8,0.6,1025.7,0.0,0.0,4
64,2019,1,3,16,6969,7,8,0.4,1026.2,0.0,0.0,4
65,2019,1,3,17,20000,7,8,1.2,1026.1,0.0,0.0,4
66,2019,1,3,18,20000,7,6,1.4,1026.5,0.0,0.0,4
67,2019,1,3,19,20000,7,7,1.3,1027.0,0.0,0.0,4
68,2019,1,3,20,20000,7,8,1.3,1027.1,0.0,0.0,4
69,2019,1,3,21,20000,7,6,1.3,1027.1,0.0,0.0,4
70,2019,1,3,22,20000,7,5,1.2,1027.2,0.0,0.0,4
71,2019,1,3,23,20000,7,4,1.3,1027.1,0.0,0.0,4
72,2019,1,4,0,20000,7,5,1.3,1027.0,0.0,0.0,4
73,2019,1,4,1,20000,7,4,1.1,1026.6,0.0,0.0,4
74,2019,1,4,2,20000,7,5,0.8,1026.5,0.0,0.0,4
75,2019,1,4,3,20000,7,4,0.2,1025.7,0.0,0.0,4
76,2019,1,4,4,20000,7,4,-0.2,1025.1,0.0,0.0,4
77,2019,1,4,5,10823,7,3,-1.5,1024.4,0.0,0.0,4
78,2019,1,4,6,3811,7,4,-1.6,1023.8,0.1,0.0,4
79,2019,1,4,7,8315,8,4,-1.9,1022.5,0.0,0.0,4
80,2019,1,4,8,20000,7,4,-1.7,1021.5,0.0,0.0,4
81,2019,1,4,9,20000,8,4,-0.9,1020.4,0.0,0.0,4
82,2019,1,4,10,9725,7,3,-0.2,1019.0,0.0,0.0,4
83,2019,1,4,11,20000,8,3,0.1,1018.1,0.0,0.0,4
84,2019,1,4,12,17827,8,1,0.6,1017.7,0.1,0.0,4
85,2019,1,4,13,15305,8,3,0.6,1016.8,0.0,0.0,4
86,2019,1,4,14,15557,7,3,0.7,1016.2,0.0,0.0,4
87,2019,1,4,15,9059,8,2,0.7,1015.7,0.0,0.0,4
88,2019,1,4,16,10657,8,3,0.9,1015.0,0.0,0.0,4
89,2019,1,4,17,9904,8,2,1.1,1014.6,0.0,0.0,4
90,2019,1,4,18,7478,8,2,1.1,1013.9,0.1,0.0,4
91,2019,1,4,19,3693,8,2,1.2,1013.2,0.0,0.0,4
92,2019,1,4,20,11239,8,4,1.7,1012.4,0.0,0.0,4
93,2019,1,4,21,16538,8,4,2.0,1011.6,0.0,0.0,4
94,2019,1,4,22,12734,8,5,3.0,1011.0,0.0,0.0,4
95,2019,1,4,23,20000,8,4,2.7,1010.4,0.0,0.0,4
96,2019,1,5,0,20000,8,4,3.5,1010.0,1.4,0.0,4
97,2019,1,5,1,20000,8,5,3.9,1009.4,0.0,0.0,4
98,2019,1,5,2,3706,8,5,3.8,1008.8,0.0,0.0,4
