,Time,Adres,Miasto,dlug,szer,Miejsce.zdarzenie,Rodzaj.zdarzenia,ucz1,ucz1_plec,ucz1_pod_wplywem,Ucz1DOB,ucz2,ucz2_plec,ucz2_pod_wplywem,Ucz2DOB,dzielnica,rok,miesiac,dzien,godzina,dzien_tyg,dzien_tyg_name
0,2019-01-01 13:10:00,GDAŃSK ALEJA ZWYCIĘSTWA  13,Gdańsk,18.62797237696968,54.37119795,1,1,1,2,1,49,2,2,1,61,Anio³ki,2019,1,1,13,1,Tuesday
1,2019-01-11 17:30:00,GDAŃSK PIASTOWSKA  7,Gdańsk,18.568919052917188,54.41173395,1,1,1,1,1,23,2,2,1,58,Oliwa,2019,1,11,17,4,Friday
2,2019-01-14 12:50:00,GDAŃSK RZECZYPOSPOLITEJ  / KOŁOBRZESKA,Gdańsk,18.6038269,54.39600160000001,2,1,1,2,1,20,2,2,1,86,Zaspa-Rozstaje,2019,1,14,12,0,Monday
3,2019-01-15 09:00:00,GDAŃSK JAŚKOWA DOLINA  2  / MATUSZEWSKIEGO,Gdańsk,18.608567631205315,54.37703735,3,1,1,1,1,29,2,1,1,34,Wrzeszcz Górny,2019,1,15,9,1,Tuesday
4,2019-01-22 14:00:00,GDAŃSK RAJSKA 1,Gdańsk,18.647388600000006,54.3566412,4,2,1,1,1,62,0,0,0,0,ródmiecie,2019,1,22,14,1,Tuesday
5,2019-01-30 14:20:00,GDAŃSK KOŁOBRZESKA  419,Gdańsk,18.578013,54.4017694,3,1,1,1,1,25,2,2,1,67,Przymorze Ma³e,2019,1,30,14,2,Wednesday
6,2019-01-30 19:25:00,GDAŃSK RZECZYPOSPOLITEJ  8,Gdańsk,18.6038269,54.39600160000001,2,3,1,1,1,65,2,2,1,37,Zaspa-Rozstaje,2019,1,30,19,2,Wednesday
7,2019-02-04 12:30:00,GDAŃSK CHROBREGO  / LESZCZYŃSKICH,Gdańsk,18.6155281,54.3833493,4,1,1,2,1,67,2,1,1,67,Wrzeszcz Dolny,2019,2,4,12,0,Monday
8,2019-02-14 09:40:00,GDAŃSK KOŁOBRZESKA  / CHŁOPSKA,Gdańsk,18.5794561,54.40202270000001,2,1,1,1,1,21,2,2,1,21,Przymorze Ma³e,2019,2,14,9,3,Thursday
9,2019-02-16 07:25:00,GDAŃSK KILIŃSKIEGO  41,Gdańsk,18.6031809,54.3853853,1,1,1,2,1,36,2,2,1,33,Wrzeszcz Dolny,2019,2,16,7,5,Saturday
10,2019-02-16 20:00:00,GDAŃSK POWSTAŃCÓW WARSZAWSKICH  / DĄBROWSKIEGO,Gdańsk,18.6341863,54.3532463,4,1,1,2,1,19,2,2,1,25,Siedlce,2019,2,16,20,5,Saturday
11,2019-02-26 18:05:00,GDAŃSK BORA KOMOROWSKIEGO  85,Gdańsk,18.5892329,54.40809839999999,1,4,1,2,1,34,2,2,1,70,Przymorze Wielkie,2019,2,26,18,1,Tuesday
12,2019-03-02 11:50:00,GDAŃSK JELITKOWSKA  20,Gdańsk,18.590293400660308,54.42877545,5,1,1,2,1,53,2,1,1,34,¯abianka-Wejhera-Jelitkowo-Tysi¹clecia,2019,3,2,11,5,Saturday
13,2019-03-04 16:30:00,GDAŃSK ALEJA ZWYCIĘSTWA  / PIRAMOWICZA,Gdańsk,18.6411774,54.3619077,2,1,1,2,1,12,2,1,1,34,Anio³ki,2019,3,4,16,0,Monday
14,2019-02-28 11:15:00,GDAŃSK MAŁOMIEJSKA,Gdańsk,18.6106622,54.3272706,3,1,1,2,1,51,2,1,1,38,Orunia-w. Wojciech-Lipce,2019,2,28,11,3,Thursday
15,2019-03-07 06:20:00,GDAŃSK KARTUSKA  / ZAKOPIAŃSKA,Gdańsk,18.5381467,54.3456959,6,1,1,2,1,46,2,2,1,34,Jasieñ,2019,3,7,6,3,Thursday
