Okres,18 listopada 2016 00:00 -> 9 listopada 2020 14:08,

,Czas,BORA KOMOROWSKIEGOBORA KOMOROWSKIEGO,Średnia temperatura (°C),Temperatura odczuwalna (°C),Opad deszczu (mm),
,2018-06-24 00:00:00,,8,6,0,
,2018-06-24 01:00:00,,9,7,0,
,2018-06-24 02:00:00,,9,7,0.2,
,2018-06-24 03:00:00,,10,8,0.3,
,2018-06-24 04:00:00,,10,8,0.2,
,2018-06-24 05:00:00,,11,9,0,
,2018-06-24 06:00:00,,12,10,0,
,2018-06-24 07:00:00,,12,10,0,
,2018-06-24 08:00:00,,13,11,0.1,
,2018-06-24 09:00:00,,14,12,0.2,
,2018-06-24 10:00:00,,15,14,0.1,
,2018-06-24 11:00:00,,16,16,0,
,2018-06-24 12:00:00,,17,17,0,
,2018-06-24 13:00:00,,17,17,0,
,2018-06-24 14:00:00,,18,18,0.1,
,2018-06-24 15:00:00,,18,18,0.1,
,2018-06-24 16:00:00,,16,16,0.1,
,2018-06-24 17:00:00,,15,15,0,
,2018-06-24 18:00:00,,14,13,0,
,2018-06-24 19:00:00,,13,12,0,
,2018-06-24 20:00:00,,12,11,0.1,
,2018-06-24 21:00:00,,11,10,0.1,
,2018-06-24 22:00:00,,11,10,0,
,2018-06-24 23:00:00,,11,10,0,
,2018-06-25 00:00:00,,10,9,0,
,2018-06-25 01:00:00,,10,9,0,
,2018-06-25 02:00:00,,10,10,0,
,2018-06-25 03:00:00,,10,10,0,
,2018-06-25 04:00:00,,11,11,0,
,2018-06-25 05:00:00,,12,12,0,
,2018-06-25 06:00:00,,14,13,0,
,2018-06-25 07:00:00,,14,14,0,
,2018-06-25 08:00:00,,15,15,0.3,
,2018-06-25 09:00:00,,16,16,0.4,
,2018-06-25 10:00:00,,17,17,0.2,
,2018-06-25 11:00:00,,18,19,0,
,2018-06-25 12:00:00,,20,20,0,
,2018-06-25 13:00:00,,20,20,0,
,2018-06-25 14:00:00,,19,20,0,
,2018-06-25 15:00:00,,19,20,0,
,2018-06-25 16:00:00,,18,18,0,
,2018-06-25 17:00:00,,17,17,0,
,2018-06-25 18:00:00,,15,16,0,
,2018-06-25 19:00:00,,14,15,0,
,2018-06-25 20:00:00,,13,14,0,
,2018-06-25 21:00:00,,12,13,0,
,2018-06-25 22:00:00,,12,12,0,
,2018-06-25 23:00:00,,11,12,0,
,2018-06-26 00:00:00,,11,11,0,
,2018-06-26 01:00:00,,11,11,0,
,2018-06-26 02:00:00,,11,11,0,
,2018-06-26 03:00:00,,11,11,0,
,2018-06-26 04:00:00,,12,12,0,
,2018-06-26 05:00:00,,14,14,0,
,2018-06-26 06:00:00,,15,15,0,
,2018-06-26 07:00:00,,16,16,0,
,2018-06-26 08:00:00,,17,18,0.1,
,2018-06-26 09:00:00,,19,19,0.2,
,2018-06-26 10:00:00,,19,20,0.1,
,2018-06-26 11:00:00,,20,20,0,
,2018-06-26 12:00:00,,20,21,0,
,2018-06-26 13:00:00,,20,20,0,
,2018-06-26 14:00:00,,20,20,0,
,2018-06-26 15:00:00,,19,19,0,
,2018-06-26 16:00:00,,18,18,0,
,2018-06-26 17:00:00,,16,17,0,
,2018-06-26 18:00:00,,15,15,0,
,2018-06-26 19:00:00,,14,14,0,
,2018-06-26 20:00:00,,12,13,0,
,2018-06-26 21:00:00,,11,12,0,
,2018-06-26 22:00:00,,11,12,0,
,2018-06-26 23:00:00,,10,11,0,
,2018-06-27 00:00:00,,10,11,0,
,2018-06-27 01:00:00,,10,11,0,
,2018-06-27 02:00:00,,10,10,0,
,2018-06-27 03:00:00,,9,10,0,
,2018-06-27 04:00:00,,11,11,0,
,2018-06-27 05:00:00,,13,13,0,
,2018-06-27 06:00:00,,14,14,0,
,2018-06-27 07:00:00,,15,15,0,
,2018-06-27 08:00:00,,16,16,0,
,2018-06-27 09:00:00,,16,16,0.1,
,2018-06-27 10:00:00,,17,17,0,
,2018-06-27 11:00:00,,17,17,0,
,2018-06-27 12:00:00,,18,18,0,
,2018-06-27 13:00:00,,18,18,0,
,2018-06-27 14:00:00,,17,18,0.6,
,2018-06-27 15:00:00,,17,17,0.8,
,2018-06-27 16:00:00,,17,17,0.4,
,2018-06-27 17:00:00,,17,17,0,
,2018-06-27 18:00:00,,17,17,0,
,2018-06-27 19:00:00,,17,17,0,
,2018-06-27 20:00:00,,17,17,0.2,
,2018-06-27 21:00:00,,16,16,0.3,
,2018-06-27 22:00:00,,16,16,0.1,
,2018-06-27 23:00:00,,16,16,0,
,2018-06-28 00:00:00,,16,16,0,
,2018-06-28 01:00:00,,16,16,0,
,2018-06-28 02:00:00,,16,16,3,
,2018-06-28 03:00:00,,16,16,4,
,2018-06-28 04:00:00,,16,16,2,
,2018-06-28 05:00:00,,17,17,0,
,2018-06-28 06:00:00,,17,17,0,
,2018-06-28 07:00:00,,17,17,0,
,2018-06-28 08:00:00,,18,18,0.2,
,2018-06-28 09:00:00,,19,19,0.3,
,2018-06-28 10:00:00,,19,19,0.1,
,2018-06-28 11:00:00,,20,20,0,
,2018-06-28 12:00:00,,20,20,0,
,2018-06-28 13:00:00,,20,20,0,
,2018-06-28 14:00:00,,20,20,0.8,
,2018-06-28 15:00:00,,21,21,1.1,
,2018-06-28 16:00:00,,20,20,0.6,
,2018-06-28 17:00:00,,20,20,0,
,2018-06-28 18:00:00,,19,19,0,
,2018-06-28 19:00:00,,19,19,0,
,2018-06-28 20:00:00,,18,18,0.2,
,2018-06-28 21:00:00,,17,18,0.2,
,2018-06-28 22:00:00,,17,18,0.1,
,2018-06-28 23:00:00,,17,18,0,
,2018-06-29 00:00:00,,18,18,0,
,2018-06-29 01:00:00,,17,17,0,
,2018-06-29 02:00:00,,17,17,0,
,2018-06-29 03:00:00,,16,16,0,
,2018-06-29 04:00:00,,17,17,0,
,2018-06-29 05:00:00,,18,18,0,
,2018-06-29 06:00:00,,19,19,0,
,2018-06-29 07:00:00,,20,20,0,
,2018-06-29 08:00:00,,21,21,0,
,2018-06-29 09:00:00,,23,25,0,
,2018-06-29 10:00:00,,23,25,0,
,2018-06-29 11:00:00,,24,26,0,
,2018-06-29 12:00:00,,24,26,0,
,2018-06-29 13:00:00,,25,26,0,
,2018-06-29 14:00:00,,25,26,0.7,
,2018-06-29 15:00:00,,26,27,0.9,
,2018-06-29 16:00:00,,24,25,0.5,
,2018-06-29 17:00:00,,23,23,0,
,2018-06-29 18:00:00,,21,21,0,
,2018-06-29 19:00:00,,20,20,0,
,2018-06-29 20:00:00,,19,19,1.1,
,2018-06-29 21:00:00,,18,18,1.5,
,2018-06-29 22:00:00,,17,16,0.8,
,2018-06-29 23:00:00,,16,15,0,
,2018-06-30 00:00:00,,15,13,0,
,2018-06-30 01:00:00,,14,12,0,
,2018-06-30 02:00:00,,13,11,0,
,2018-06-30 03:00:00,,12,10,0,
,2018-06-30 04:00:00,,12,10,0,
,2018-06-30 05:00:00,,12,10,0,
,2018-06-30 06:00:00,,12,11,0,
,2018-06-30 07:00:00,,12,11,0,
,2018-06-30 08:00:00,,12,10,0.1,
,2018-06-30 09:00:00,,12,10,0.1,
,2018-06-30 10:00:00,,14,12,0,
,2018-06-30 11:00:00,,15,14,0,
,2018-06-30 12:00:00,,16,16,0,
,2018-06-30 13:00:00,,16,16,0,
,2018-06-30 14:00:00,,16,16,0.1,
,2018-06-30 15:00:00,,17,17,0.2,
,2018-06-30 16:00:00,,16,15,0.1,
,2018-06-30 17:00:00,,15,14,0,
,2018-06-30 18:00:00,,14,13,0,
,2018-06-30 19:00:00,,13,12,0,
,2018-06-30 20:00:00,,12,11,0.1,
,2018-06-30 21:00:00,,11,10,0.1,
,2018-06-30 22:00:00,,11,9,0,
,2018-06-30 23:00:00,,10,9,0,
,2018-07-01 00:00:00,,10,8,0,
,2018-07-01 01:00:00,,9,7,0,
,2018-07-01 02:00:00,,8,7,0,
,2018-07-01 03:00:00,,7,6,0,
,2018-07-01 04:00:00,,9,7,0,
,2018-07-01 05:00:00,,10,9,0,
,2018-07-01 06:00:00,,12,10,0,
,2018-07-01 07:00:00,,13,12,0,
,2018-07-01 08:00:00,,14,14,0.3,
,2018-07-01 09:00:00,,15,15,0.4,
,2018-07-01 10:00:00,,15,15,0.2,
,2018-07-01 11:00:00,,15,15,0,
,2018-07-01 12:00:00,,15,15,0,
,2018-07-01 13:00:00,,16,16,0,
,2018-07-01 14:00:00,,16,16,0.1,
,2018-07-01 15:00:00,,16,16,0.1,
,2018-07-01 16:00:00,,15,15,0,
,2018-07-01 17:00:00,,14,14,0,
,2018-07-01 18:00:00,,13,12,0,
,2018-07-01 19:00:00,,12,11,0,
,2018-07-01 20:00:00,,11,10,0,
,2018-07-01 21:00:00,,10,9,0,
,2018-07-01 22:00:00,,10,8,0,
,2018-07-01 23:00:00,,9,7,0,
,2018-07-02 00:00:00,,9,7,0,
,2018-07-02 01:00:00,,8,6,0,
,2018-07-02 02:00:00,,8,6,0,
,2018-07-02 03:00:00,,8,6,0,
,2018-07-02 04:00:00,,10,8,0,
,2018-07-02 05:00:00,,12,10,0,
,2018-07-02 06:00:00,,14,12,0,
,2018-07-02 07:00:00,,15,14,0,
,2018-07-02 08:00:00,,16,15,0,
,2018-07-02 09:00:00,,17,17,0,
,2018-07-02 10:00:00,,17,17,0,
,2018-07-02 11:00:00,,18,18,0,
,2018-07-02 12:00:00,,19,19,0,
,2018-07-02 13:00:00,,18,18,0,
,2018-07-02 14:00:00,,18,18,0,
,2018-07-02 15:00:00,,18,18,0,
,2018-07-02 16:00:00,,17,17,0,
,2018-07-02 17:00:00,,15,16,0,
,2018-07-02 18:00:00,,14,16,0,
,2018-07-02 19:00:00,,13,14,0,
,2018-07-02 20:00:00,,12,13,0,
,2018-07-02 21:00:00,,11,11,0,
,2018-07-02 22:00:00,,11,11,0,
,2018-07-02 23:00:00,,11,10,0,
,2018-07-03 00:00:00,,10,9,0,
,2018-07-03 01:00:00,,10,9,0,
,2018-07-03 02:00:00,,10,9,0,
,2018-07-03 03:00:00,,10,9,0,
,2018-07-03 04:00:00,,12,11,0,
,2018-07-03 05:00:00,,14,14,0,
,2018-07-03 06:00:00,,17,17,0,
,2018-07-03 07:00:00,,18,18,0,
,2018-07-03 08:00:00,,19,19,0,
,2018-07-03 09:00:00,,21,21,0,
,2018-07-03 10:00:00,,21,21,0,
,2018-07-03 11:00:00,,22,22,0,
,2018-07-03 12:00:00,,22,24,0,
,2018-07-03 13:00:00,,22,24,0,
,2018-07-03 14:00:00,,23,24,0,
,2018-07-03 15:00:00,,23,24,0,
,2018-07-03 16:00:00,,21,21,0,
,2018-07-03 17:00:00,,20,20,0,
,2018-07-03 18:00:00,,19,19,0,
,2018-07-03 19:00:00,,18,18,0,
,2018-07-03 20:00:00,,16,16,0,
,2018-07-03 21:00:00,,15,15,0,
,2018-07-03 22:00:00,,15,15,0,
,2018-07-03 23:00:00,,14,14,0,
,2018-07-04 00:00:00,0,14,13,0,
,2018-07-04 01:00:00,0,13,13,0,
,2018-07-04 02:00:00,0,13,13,0,
,2018-07-04 03:00:00,0,13,13,0,
,2018-07-04 04:00:00,0,15,15,0,
